epoch,n_seeds,rent_fraction_mean,rent_fraction_median,rent_fraction_p10,rent_fraction_p90
0,20,0.017123287671232876,0.0,0.0,0.0
1,20,0.5506745263489373,0.56661316211878,0.4031823014596896,0.6407971304193318
2,20,0.7849385957552195,0.7980067741023915,0.7062526125015637,0.8899767373300201
3,20,0.8212126900013235,0.8245743036004773,0.7218197755670777,0.8850117266432693
4,20,0.8609719608395523,0.8640426031127575,0.7833779340928205,0.9324060303852099
5,20,0.9147113631096704,0.9102570669302015,0.8704700661923209,0.9591885441527447
6,20,0.9010630943870548,0.9008749797116846,0.8553942652813024,0.9555473178007324
7,20,0.9106625808098017,0.9160672712962834,0.8595168310767953,0.963201092695184
8,20,0.9363389484890638,0.9437673500289477,0.8879097155834422,0.9706262382634162
9,20,0.9223360484475304,0.9185799039457576,0.8796424189307624,0.9731991268493816
10,20,0.9187362775177466,0.918039102875849,0.8892860911777123,0.9486667315521418
11,20,0.935688657350636,0.9334198933505962,0.9089486508841348,0.9658144395176701
12,20,0.9236729331992445,0.9327931317281836,0.8899357237112818,0.9570059164865172
13,20,0.9327698478910521,0.936113167269081,0.9049435919192145,0.9619940459821428
14,20,0.946109370768521,0.9479940267920717,0.9108298674171955,0.9769618893444485
15,20,0.941715355374658,0.9480773247626555,0.9083127074235038,0.9658870722791878
16,20,0.9385515618380998,0.9448167340405329,0.9093314258277562,0.9649122807017544
17,20,0.9502013396030645,0.9485456578024563,0.9307735729640041,0.9717195224929518
18,20,0.9454975872189336,0.9521549457515266,0.9185489273179296,0.9691794015667138
19,20,0.9452425275815816,0.9504858017869171,0.9176769732583306,0.9693897234345237
20,20,0.9574114763427094,0.9656759038786527,0.9257120862201692,0.9804011899495246
21,20,0.9518306341482461,0.9580414754494324,0.9267164942155839,0.9675194677765713
22,20,0.9511792547839227,0.9554725337490665,0.9282270490581043,0.9720174350418485
23,20,0.9596233026075126,0.9595996726262452,0.9440932529848703,0.9766405902932029
24,20,0.9538807906354174,0.9585939942023027,0.9333872202190342,0.9690302884662174
25,20,0.9545865009259529,0.9589051482295852,0.9382493774648681,0.9695158744186897
26,20,0.9632964393884117,0.9667753706013247,0.9363350783327212,0.9825810583181334
27,20,0.9567170910810462,0.9604435273896174,0.9389394356666135,0.9724694586161765
28,20,0.9567304331192914,0.9601993629595518,0.9432116385065145,0.9706234865991419
29,20,0.9566736653221504,0.9617188550403653,0.9370211525649568,0.9716391552147107
