beta,reluctance,r_i,n,corr_S_I,volume_share_mean,volume_share_median,volume_share_p10,volume_share_p90,willing_clear_frac_mean,risk_hedged_frac_mean,clearing_spread_pct_mean,net_imbalance_mean_abs,residual_risk_mean,dealer_pnl_mean,dealer_pnl_std
0.2,0.0,0.04000000000000001,100,0.2,0.7990677785635683,0.969544566531416,0.20239338092941642,1.0,0.7990677785635683,0.817422459381051,6.714431950439423,2.3095478159002294,2.2434164480541687,2.859740781576884,3.1857713454043988
0.2,0.5,0.04000000000000001,100,0.2,0.4802910363105932,0.5617338668122316,0.06624843140464123,0.8069730793760073,0.6350685154176313,0.5036415101076424,8.688267018277982,2.083201594760276,2.0235514026265,2.5754118056395554,2.866967707836744
0.2,1.0,0.04000000000000001,100,0.2,0.05532550503886346,0.05953722588454234,0.0,0.07575626640717505,0.11693205108982581,0.06690464439392614,15.011198460528623,1.1447334368745605,1.111955250825129,0.775468950493996,1.2254953851332795
0.45,0.0,0.2025,100,0.45000000000000007,0.8153331279669179,1.0,0.23236763045712752,1.0,0.8153331279669179,0.8312567322701531,6.371307363886572,2.477148034158953,2.193131292584089,2.76656647674266,3.1583525478004733
0.45,0.5,0.2025,100,0.45000000000000007,0.5029604092067648,0.5724607572813017,0.07731357325193791,0.8069730793760073,0.6658281598638902,0.526267123742089,8.816707895502391,2.362289988403674,2.091442265171368,2.617147132342852,2.9654028081442836
0.45,1.0,0.2025,100,0.45000000000000007,0.06392890259725922,0.061366129964158966,0.05268776368384155,0.07797607962892758,0.13482073151622376,0.07978065804078596,14.415353773498659,1.3232894439682619,1.1715680486969113,0.7053641717729425,1.2259544524463672
0.63,0.0,0.39690000000000003,100,0.63,0.84397467472951,1.0,0.2640435770351543,1.0,0.84397467472951,0.8577158087467135,5.648687630642863,2.7475603043675063,2.1153840356235074,2.616842899027738,3.143110317730463
0.63,0.5,0.39690000000000003,100,0.63,0.5472198471653101,0.6274143496298396,0.12752754875217684,0.8282889420642385,0.7244637766572204,0.566125493609944,8.389492611742517,2.7964850157155325,2.1530518360967448,2.759967736821859,3.065610416586857
0.63,1.0,0.39690000000000003,100,0.63,0.0725211559588046,0.06621592265216042,0.053109297321167474,0.11120817778982005,0.14979072176431243,0.08938535839209254,12.368663645874664,1.5013905766992386,1.1559410187054169,0.7591579095172573,1.3426089065386906
0.8,0.0,0.6400000000000001,100,0.8,0.8973604907406394,1.0,0.5002265934534654,1.0,0.8973604907406394,0.9083443906870551,4.694858683426044,3.274383647182492,1.9477272398612442,2.3289603856484185,2.9189126243536765
0.8,0.5,0.6400000000000001,100,0.8,0.6274258987817145,0.6824275903573771,0.29954562102182875,0.83737722106237,0.8291228545399139,0.6422562737349627,7.235993200080172,3.6932336121978433,2.1968750411512077,2.9301435150018222,3.1623923845166093
0.8,1.0,0.6400000000000001,100,0.8,0.13369149058323293,0.12762027282634703,0.1048540921014914,0.17007286906258445,0.27739250993983317,0.1588165219207875,13.610539206080334,2.767789547527552,1.6463859085545294,1.4250838621572663,1.833053595979277
0.95,0.0,0.9025,100,0.9500000000000001,0.9961637023789045,1.0,1.0,1.0,0.9961637023789045,0.9971603546984971,1.8187595325803787,4.222032127574209,1.3069866952838,1.33422771430339,2.543857598510812
0.95,0.5,0.9025,100,0.9500000000000001,0.743556777826077,0.7561990922041565,0.5970810807369475,0.8644161898740093,0.9802160921343811,0.7443383075511388,3.596541132440269,5.437542526740461,1.683264248766597,1.8752209788332022,2.6283636620018567
0.95,1.0,0.9025,100,0.9500000000000001,0.3918986449687884,0.39951199353467437,0.3145316588066462,0.45767510197364086,0.801947657912803,0.4106690897932565,10.792866962662362,8.10386957608458,2.5086615630144915,3.235603258676365,2.765527852050203
1.0,0.0,1.0,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.253969285093617,0.0,0.0,0.0
1.0,0.5,1.0,100,1.0,0.7588582963383331,0.7632802273658619,0.6322150988036367,0.8707802994679525,1.0,0.7564819566426566,0.0,5.694182054723916,0.0,0.0,0.0
1.0,1.0,1.0,100,1.0,0.505361106749918,0.5017664010299734,0.349384037039277,0.6422317952954557,1.0,0.5012779798237441,0.0,10.441127784859749,0.0,0.0,0.0
