spot_logvol,kappa_over_sigma,effectiveness,eff_p10,eff_p90
0.3,0.1,0.15143397740857378,0.14552606462329631,0.15987819459893987
0.3,0.25,0.3445427648850088,0.3318960660431189,0.3620446746440822
0.3,0.5,0.5870038846553505,0.5692041096116531,0.6122379827611893
0.3,1.0,0.851357457976415,0.8343187386101072,0.8733288553072734
0.3,2.0,0.9889638670032822,0.9853947029496519,0.9929785668885031
0.3,4.0,1.0,1.0,1.0
0.3,1000000000.0,1.0,1.0,1.0
0.5,0.1,0.14969888357192196,0.143213058805375,0.1592666378633799
0.5,0.25,0.34077152508918684,0.32731328204257726,0.3601293144136002
0.5,0.5,0.5801493364991244,0.5601184695910361,0.6074891342484949
0.5,1.0,0.8379957513995411,0.8168605906653862,0.8638698217539234
0.5,2.0,0.9798659593049284,0.973370894369302,0.9868050112477347
0.5,4.0,1.0,1.0,1.0
0.5,1000000000.0,1.0,1.0,1.0
0.8,0.1,0.1457525453622842,0.1378347939901964,0.15678249702433505
0.8,0.25,0.3316548637989757,0.3144867853188287,0.3551372050294966
0.8,0.5,0.5635694915062769,0.5371350102960669,0.5988956986850966
0.8,1.0,0.8076152690161259,0.7803823345413383,0.8424166749100191
0.8,2.0,0.9589092419596685,0.9473588158274128,0.9717627363386213
0.8,4.0,1.0,1.0,1.0
0.8,1000000000.0,1.0,1.0,1.0
