reluctance,risk_factor,n,volume_share_median,volume_share_p10,volume_share_p90,willing_clear_frac_mean,mean_faced_spread,abs_net_sku_mean,hedge_coverage_mean
0.0,0.0,50,1.0,0.9166666666666666,1.0,0.98,0.040000000000000036,2.52,0.8843333333333333
0.0,0.02,50,1.0,0.9083333333333333,1.0,0.9683333333333334,0.059183636363636376,2.5,0.8923333333333333
0.0,0.05,50,0.9166666666666666,0.8250000000000001,1.0,0.8983333333333333,0.08962424242424245,2.54,0.9216666666666666
0.0,0.1,50,0.75,0.6666666666666666,0.925,0.7833333333333333,0.13993939393939397,2.12,0.9833333333333333
0.0,0.2,50,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.5599999999999999,0.23166666666666666,1.72,1.0
1.0,0.0,50,0.5416666666666667,0.3333333333333333,0.5833333333333334,0.9488888888888889,0.040000000000000036,6.06,0.9285714285714286
1.0,0.02,50,0.5,0.325,0.5833333333333334,0.885531746031746,0.09237238095238101,5.66,0.9485714285714285
1.0,0.05,50,0.3333333333333333,0.25,0.5,0.6981269841269842,0.16565714285714292,4.4,1.0
1.0,0.1,50,0.25,0.16666666666666666,0.3333333333333333,0.48938095238095236,0.2397380952380953,2.98,1.0
1.0,0.2,50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3180873015873016,0.33099047619047617,1.92,1.0
