cell_index,wood_cost,stone_cost,income_per_step,n_seeds,late_rent_share_mean,late_rent_share_p10,late_rent_share_p90,rent_dominates,final_welfare_mean,final_gini_mean
12,6,6,0.25,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
13,6,6,0.5,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
14,6,6,1.0,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
15,6,12,0.25,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
16,6,12,0.5,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
17,6,12,1.0,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
21,12,6,0.25,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
22,12,6,0.5,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
23,12,6,1.0,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
24,12,12,0.25,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
25,12,12,0.5,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
26,12,12,1.0,20,0.0,0.0,0.0,False,0.7443981890538246,0.7440607647494938
6,3,12,0.25,20,0.13173991418106562,0.0,0.35339855990399366,False,1.0161425277342122,0.7034292302458615
18,12,3,0.25,20,0.16679062968867647,0.0,0.42499570422131855,False,1.0484455169469535,0.7106089661060929
7,3,12,0.5,20,0.20401330388705116,0.0,0.5230148542086925,False,1.2530020460370017,0.7118530507831395
19,12,3,0.5,20,0.25981685022077655,0.0,0.6527459954233409,False,1.395760395375688,0.728479209248624
8,3,12,1.0,20,0.28349136362998756,0.0,0.6897504286530769,False,1.703769852276254,0.7388888668760631
20,12,3,1.0,20,0.3334788169854101,0.0,0.8062703342206449,False,1.8298757075819279,0.7459628705504298
3,3,6,0.25,20,0.3661432068912338,0.0,0.5801503453880537,False,1.7729211096878743,0.6502292091956801
9,6,3,0.25,20,0.3799455589227841,0.09453781512605042,0.7005087144696455,False,1.7507174426291272,0.6739222575988882
4,3,6,0.5,20,0.5022910987793543,0.0,0.7754439681567666,False,2.5542268410425786,0.6844034607719858
10,6,3,0.5,20,0.513987383761078,0.17110266159695814,0.8106060606060604,False,2.734789931439105,0.7089915656932185
5,3,6,1.0,20,0.6107365631382187,0.0,0.875942912461301,False,4.206845311083941,0.7355950921178314
11,6,3,1.0,20,0.6420992148816195,0.30508474576271183,0.9091661027144897,False,4.029966319678538,0.7457816463572097
0,3,3,0.25,20,0.8292539854565455,0.7546546242643112,0.9102286166407569,True,10.83863108948248,0.45523782103503874
1,3,3,0.5,20,0.9094649211926917,0.8309875265634691,0.9689456849166176,True,18.92197874571828,0.5053282228491511
2,3,3,1.0,20,0.9569500829160267,0.9041894803017412,1.0,True,34.8385923729161,0.5513866827392372
